31.6349 18.6057 3.46 0.0 0.0 0.247 19
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
25.3669 21.5541 3.357 0.0 0.0 0.143 2
25.0773 32.7358 1.863 0.0 0.0 0.113 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
20.8555 22.133 2.371 0.0 0.0 0.016 3
16.4801 18.2136 2.393 0.0 0.0 0.306 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
30.5273 33.0646 3.131 0.0 0.0 0.266 19
32.4848 24.3924 2.429 0.0 0.0 0.073 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
34.7436 26.0233 2.576 0.0 0.0 0.138 16
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
28.7405 29.008 2.621 0.0 0.0 0.265 2
15.9019 30.6911 2.059 0.0 0.0 0.088 2
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
21.4771 22.5282 2.342 0.0 0.0 0.145 0
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
29.7806 26.447 1.693 0.0 0.0 0.161 2
22.2766 16.7712 2.643 0.0 0.0 0.155 2
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
16.1 27.5069 2.908 0.0 0.0 0.183 19
21.3146 18.1048 3.55 0.0 0.0 0.265 19
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
28.7911 19.0363 2.927 0.0 0.0 0.081 0
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
19.7149 29.155 2.712 0.0 0.0 0.106 3
24.2678 17.8656 2.059 0.0 0.0 0.096 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
16.16 28.8944 3.152 0.0 0.0 0.148 16
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
26.9809 31.216 3.462 0.0 0.0 0.139 3
27.438 20.5482 3.189 0.0 0.0 0.046 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
26.224 23.3718 2.002 0.0 0.0 0.121 0
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
28.0933 27.3739 2.952 0.0 0.0 0.257 0
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
15.8937 32.4404 1.847 0.0 0.0 0.11 3
24.2312 28.2108 3.644 0.0 0.0 0.096 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
26.3003 33.1594 2.976 0.0 0.0 0.068 3
35.3509 22.2351 3.882 0.0 0.0 0.372 19
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
30.4344 17.8837 1.648 0.0 0.0 0.198 3
24.0123 16.9013 1.726 0.0 0.0 0.105 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
24.6204 24.6883 1.786 0.0 0.0 0.087 0
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
22.7677 17.8431 1.777 0.0 0.0 0.112 0
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
26.43 25.77 3.872 0.0 0.0 0.327 18
16.9481 27.725 2.34 0.0 0.0 0.172 3
X_IMAGE Y_IMAGE FLUX_RADIUS FLUX_RADIUS_1 FLUX_RADIUS_2 ELLIPTICITY FLAGS
33.388 23.0164 3.652 0.0 0.0 0.172 19
